Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,POINT (-76.20518 43.06087)
ACMG Federal Credit Union,4659 ONONDAGA BOULEVARD,SYRACUSE,13219,Onondaga,POINT (-76.19225 43.03315)
ACMG Federal Credit Union,4800 SOUTH SALINA STREET,SYRACUSE,13205,Onondaga,POINT (-76.14277 43.00059)
Abacus Federal Savings Bank,36-30 MAIN STREET,FLUSHING,11354,Queens,POINT (-73.83159 40.76234)
Abacus Federal Savings Bank,4824 8TH AVENUE,BROOKLYN,11220,Kings,POINT (-74.00303 40.64176)
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.99749 40.71425)
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,POINT (-75.63241 43.0537)
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,POINT (-75.74831 43.3349)
Access Federal Credit Union,230 South James Street,Rome,13440,Oneida,POINT (-75.46052 43.20849)
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,POINT (-75.38253 43.04741)
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,POINT (-75.60661 43.07699)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.97061 43.71195)
Adirondack Bank,808 Main Street,Sylvan Beach,13157,Oneida,POINT (-75.72882 43.19907)
Adirondack Bank,67 Main Street,Saranac Lake,12983,Franklin,POINT (-74.13165 44.32633)
Adirondack Bank,139 Church Street Extension,Saranac Lake,12983,Franklin,POINT (-74.13031 44.32844)
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,POINT (-73.99889 44.29677)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,POINT (-73.49163 44.69693)
Adirondack Bank,136 Oriskany Boulevard,Whitesboro,13492,Oneida,POINT (-75.29353 43.12031)
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,POINT (-75.31594 43.47601)
Adirondack Bank,Utica College,Utica,13501,Oneida,
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,POINT (-75.00581 43.01113)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.98616 43.02785)
Adirondack Bank,1709 Black River Boulevard,Rome,13440,Oneida,POINT (-75.43945 43.23142)
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,POINT (-74.8591 43.04345)
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,POINT (-75.0464 43.01998)
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,POINT (-75.25441 43.24311)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.23121 43.1015)
